lon,lat,source,country,substance,area_ha
-50.1387,-26.4522,ANM,BR,DIABÁSIO,13.63
-50.9891,-26.7724,ANM,BR,BASALTO,49
-47.4974,-20.5801,ANM,BR,BASALTO,50
-51.4899,-29.6587,ANM,BR,BASALTO,3
-51.1895,-29.5161,ANM,BR,BASALTO,2.14
-49.9614,-27.0845,ANM,BR,GABRO,48
-54.0683,-24.5155,ANM,BR,BASALTO,50
-50.5629,-29.843,ANM,BR,BASALTO,4
-47.7847,-21.2488,ANM,BR,BASALTO,44.25
-51.8675,-22.6189,ANM,BR,BASALTO,50
-42.6512,-5.4419,ANM,BR,DIABÁSIO P/ BRITA,48.75
-50.8128,-28.0059,ANM,BR,BASALTO,4.74
-47.7781,-21.2496,ANM,BR,BASALTO,50
-50.7844,-24.3227,ANM,BR,DIABÁSIO,49
-57.4337,-14.7232,ANM,BR,BASALTO,50
-51.1293,-29.1825,ANM,BR,BASALTO,13.5
-42.644,-5.529,ANM,BR,DIABÁSIO,37.73
-43.0287,-6.8489,ANM,BR,DIABÁSIO,49.6
-49.0762,-21.6045,ANM,BR,BASALTO,20.25
-48.1739,-21.8726,ANM,BR,BASALTO,49.99
-53.213,-24.5912,ANM,BR,BASALTO,50
-52.644,-27.1143,ANM,BR,BASALTO,25
-51.406,-20.6438,ANM,BR,BASALTO,49.52
-49.3337,-25.176,ANM,BR,DIABÁSIO,6.3
-49.5244,-23.7662,ANM,BR,DIABÁSIO,50
-52.0613,-25.4143,ANM,BR,BASALTO,63
-51.2237,-20.0767,ANM,BR,BASALTO,375
-36.1703,-7.3313,ANM,BR,BASALTO,401
-48.2126,-21.8401,ANM,BR,BASALTO,48.94
-48.9061,-20.9,ANM,BR,BASALTO,48.78
-47.6946,-21.3151,ANM,BR,BASALTO,32.42
-47.7816,-21.2435,ANM,BR,BASALTO,50
-47.7538,-21.2682,ANM,BR,BASALTO,50
-53.5865,-25.51,ANM,BR,BASALTO,20
-53.1993,-18.5392,ANM,BR,BASALTO,12.3
-52.8282,-28.3502,ANM,BR,BASALTO,1.5
-52.487,-26.5722,ANM,BR,BASALTO,9.59
-51.4191,-23.5855,ANM,BR,BASALTO,31.85
-48.1768,-18.9915,ANM,BR,BASALTO,50
-51.3694,-25.371,ANM,BR,BASALTO,50
-54.0814,-28.3513,ANM,BR,BASALTO,24
-49.2426,-20.2862,ANM,BR,BASALTO,867
-52.8947,-24.5112,ANM,BR,BASALTO,50
-54.7781,-20.4404,ANM,BR,BASALTO,40.14
-54.8573,-20.4231,ANM,BR,BASALTO,50
-50.3932,-27.442,ANM,BR,BASALTO,4.42
-51.2261,-24.4531,ANM,BR,DIABÁSIO,49
-53.0361,-27.8137,ANM,BR,BASALTO,16.65
-50.5735,-24.0124,ANM,BR,DIABÁSIO,39
-47.019,-22.7621,ANM,BR,DIABÁSIO,49.82
-53.9319,-24.5574,ANM,BR,BASALTO,50
-51.2524,-24.4644,ANM,BR,DIABÁSIO,49
-53.8902,-25.204,ANM,BR,BASALTO,5.48
-47.8266,-20.5172,ANM,BR,BASALTO,23
-51.3799,-20.7451,ANM,BR,BASALTO,68.5
-50.5039,-24.7993,ANM,BR,DIABÁSIO,50
-50.2356,-24.9816,ANM,BR,DIABÁSIO,46.35
-50.668,-25.5535,ANM,BR,DIABÁSIO,4.71
-51.1755,-29.1051,ANM,BR,BASALTO P/ BRITA,376
-46.9336,-22.4896,ANM,BR,DIABÁSIO,49.88
-40.3725,-18.451,ANM,BR,GABRO,329
-50.3865,-27.8593,ANM,BR,BASALTO,47.96
-47.8299,-21.9026,ANM,BR,BASALTO,20.92
-50.7689,-24.4513,ANM,BR,DIABÁSIO,20
-51.5035,-25.4396,ANM,BR,BASALTO,48.79
-52.018,-23.6478,ANM,BR,BASALTO,50
-50.9887,-28.5195,ANM,BR,BASALTO,50
-51.2452,-26.6949,ANM,BR,BASALTO,50
-51.258,-26.9878,ANM,BR,BASALTO,8.09
-50.5798,-26.2453,ANM,BR,DIABÁSIO,50
-47.5825,-23.229,ANM,BR,DIABÁSIO,72
-49.447,-28.852,ANM,BR,BASALTO,3.71
-47.8304,-21.9036,ANM,BR,BASALTO,29.14
-49.4723,-18.9607,ANM,BR,BASALTO,4.04
-50.6795,-25.4404,ANM,BR,DIABÁSIO,50
-48.2893,-18.8263,ANM,BR,BASALTO,49
-55.2114,-23.328,ANM,BR,BASALTO,43.41
-50.6305,-25.5326,ANM,BR,DIABÁSIO,27.22
-51.0984,-26.3075,ANM,BR,DIABÁSIO P/ BRITA,49.98
-51.4877,-27.1459,ANM,BR,BASALTO P/ BRITA,2.7
-50.1273,-23.0655,ANM,BR,BASALTO,50
-51.7973,-28.5812,ANM,BR,BASALTO,4.44
-51.8722,-26.9793,ANM,BR,BASALTO,4.65
-50.7737,-25.4146,ANM,BR,DIABÁSIO,21.44
-52.5536,-26.0093,ANM,BR,BASALTO,50
-50.7801,-29.5365,ANM,BR,BASALTO,1.12
-49.6155,-28.0574,ANM,BR,BASALTO,49
-52.8572,-26.3713,ANM,BR,BASALTO,22.48
-50.5048,-19.0378,ANM,BR,BASALTO,28.4
-51.5377,-28.7518,ANM,BR,BASALTO,1.96
-50.5089,-29.7281,ANM,BR,BASALTO,2
-52.0907,-28.8633,ANM,BR,BASALTO,4
-52.1859,-28.855,ANM,BR,BASALTO,4
-51.7801,-28.133,ANM,BR,BASALTO,2.73
-53.1813,-28.6598,ANM,BR,BASALTO P/ BRITA,5.91
-47.7602,-23.1184,ANM,BR,DIABÁSIO,50
-52.3431,-24.0207,ANM,BR,BASALTO,18
-54.7778,-27.657,ANM,BR,BASALTO,1.6
-53.7709,-24.6923,ANM,BR,BASALTO,6.32
-52.5324,-25.8488,ANM,BR,BASALTO,10.68
-50.0586,-27.073,ANM,BR,DIABÁSIO,940.53
-47.8186,-20.5282,ANM,BR,BASALTO,36
-52.8639,-25.7306,ANM,BR,BASALTO,16.78
-50.9044,-20.3009,ANM,BR,BASALTO,30
-51.2363,-29.6418,ANM,BR,BASALTO,2.99
-50.5115,-29.9283,ANM,BR,BASALTO,1.25
-50.9075,-29.4343,ANM,BR,BASALTO,2
-51.5533,-28.7725,ANM,BR,BASALTO,1.97
-56.9788,-29.7554,ANM,BR,BASALTO,13.51
-51.1576,-29.6293,ANM,BR,BASALTO,18.45
-51.6601,-20.8865,ANM,BR,BASALTO,35
-51.3385,-26.8371,ANM,BR,BASALTO,5
-49.7673,-23.2136,ANM,BR,BASALTO,50
-52.8375,-25.1105,ANM,BR,BASALTO,8
-51.536,-28.774,ANM,BR,BASALTO,4.43
-52.2274,-27.6601,ANM,BR,BASALTO,35.99
